id,city,position,salary,link
84,Уфа,Оператор (удаленно),30 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/52270093/
85,Казань,Менеджер по продажам,70 000 — 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/52269054/
86,Москва,Менеджер по продажам,65 000 — 350 000 руб.,https://bashkortostan.rabota.ru/vacancy/52265552/
87,,,,https://bashkortostan.rabota.ru/vacancy/50329788/
88,Муравленко,Электрогазосварщик 5 - 6 разряда (НАКС НГДО),230 000 — 260 000 руб.,https://bashkortostan.rabota.ru/vacancy/51930201/
89,Уфа,Расклейщик,65 000 — 113 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264466/
90,Королев,Менеджер по продажам,30 000 — 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/51935753/
91,Владимир,Менеджер отдела продаж,190 000 — 320 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264483/
92,Ростов-на-Дону,Фандрайзер,50 000 — 300 000 руб.,https://bashkortostan.rabota.ru/vacancy/52261061/
93,Хабаровск,Менеджер по работе с клиентами,от 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/52260901/
94,Москва,Грузчик-разнорабочий,95 000 — 125 000 руб.,https://bashkortostan.rabota.ru/vacancy/52275523/
95,Москва,Преподаватель математики (дистанционно),до 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/52234310/
96,Саратов,Агент по привлечению клиентов,20 000 — 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/50160861/
97,Лосино-Петровский,Электромонтажник (вахта),150 000 — 300 000 руб.,https://bashkortostan.rabota.ru/vacancy/51936258/
98,Магадан,Слесарь по ремонту автомобиля,по договоренности,https://bashkortostan.rabota.ru/vacancy/52266617/
99,Алдан,Монтажник железобетонных конструкций,по договоренности,https://bashkortostan.rabota.ru/vacancy/52266618/
100,Кропоткин,Водитель автомобиля-экспедитор,по договоренности,https://bashkortostan.rabota.ru/vacancy/52266646/
101,Москва,Преподаватель физики в онлайн школу,до 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/51923548/
102,Москва,Оператор колл-центра,40 000 — 55 000 руб.,https://bashkortostan.rabota.ru/vacancy/52233873/
103,Самара,Диспетчер в проект по сборке заказов,30 000 руб.,https://bashkortostan.rabota.ru/vacancy/52222018/
104,Пермь,Менеджер по продажам,50 000 — 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/51445632/
105,Москва,Менеджер по подбору персонала,20 000 — 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/48569503/
106,Самара,Репетитор по биологии,до 72 000 руб.,https://bashkortostan.rabota.ru/vacancy/51553820/
107,Волгоград,Оператор колл-центра,от 33 000 руб.,https://bashkortostan.rabota.ru/vacancy/51968411/
108,Самара,Репетитор по математике,до 88 000 руб.,https://bashkortostan.rabota.ru/vacancy/51553818/
109,Москва,Репетитор по математике,до 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/51640863/
110,Москва,Региональный менеджер (удаленно),от 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/52115683/
111,Волгоград,Курьер (Яндекс.Еда),от 55 000 руб.,https://bashkortostan.rabota.ru/vacancy/52115682/
112,,,,https://bashkortostan.rabota.ru/vacancy/49901596/
113,Санкт-Петербург,Sales manager,по договоренности,https://bashkortostan.rabota.ru/vacancy/52096569/
114,Москва,Менеджер по продажам,50 000 — 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/49916620/
115,Санкт-Петербург,Wordpress Fullstack разработчик,по договоренности,https://bashkortostan.rabota.ru/vacancy/52112294/
116,Москва,Менеджер по продажам праздничных мероприятий (удаленно),от 55 000 руб.,https://bashkortostan.rabota.ru/vacancy/51921454/
117,Волгоград,Оператор колл-центра,от 33 000 руб.,https://bashkortostan.rabota.ru/vacancy/51968431/
118,Москва,Менеджер по продажам,по договоренности,https://bashkortostan.rabota.ru/vacancy/51933751/
119,Липецк,Оператор call-центра,20 000 — 35 000 руб.,https://bashkortostan.rabota.ru/vacancy/48846441/
120,Москва,Трейдер - аналитик,от 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/52105992/
121,Новосибирск,Оператор call-центра,35 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/52095523/
122,Иркутск,Маркетолог,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/51630272/
123,,,,https://bashkortostan.rabota.ru/vacancy/50084001/
124,Москва,Инженер-сметчик,по договоренности,https://bashkortostan.rabota.ru/vacancy/48753545/
125,Санкт-Петербург,Начинающий оператор (удаленно),от 51 000 руб.,https://bashkortostan.rabota.ru/vacancy/52095773/
126,Челябинск,Оператор клиентской поддержки (удаленно),35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/52095506/
127,Санкт-Петербург,Менеджер по туризму (удаленно),70 000 — 300 000 руб.,https://bashkortostan.rabota.ru/vacancy/50464985/
128,Москва,Менеджер по продажам ( удаленно),от 20 000 руб.,https://bashkortostan.rabota.ru/vacancy/51636857/
129,Москва,Менеджер по продажам,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/51575042/
130,,,,https://bashkortostan.rabota.ru/vacancy/51977584/
131,Екатеринбург,Оператор call-центра (удаленно),30 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50357768/
132,Санкт-Петербург,Менеджер по продажам (удаленно),80 000 — 140 000 руб.,https://bashkortostan.rabota.ru/vacancy/51968360/
133,Москва,Инженер-сметчик,95 000 — 110 000 руб.,https://bashkortostan.rabota.ru/vacancy/51934755/
134,Москва,Специалист по обработке графики,от 37 000 руб.,https://bashkortostan.rabota.ru/vacancy/50252877/
135,Москва,Помощник/ассистент руководителя (удаленно),15 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/51917346/
136,,,,https://bashkortostan.rabota.ru/vacancy/51648375/
137,Иркутск,Руководитель отдела продаж,до 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/51629638/
138,,,,https://bashkortostan.rabota.ru/vacancy/51629221/
139,Калининград,Менеджер по продажам,от 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/51445839/
140,Москва,Менеджер по продажам,от 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/51445838/
141,Москва,Маркетолог в рекламное агентство,35 000 руб.,https://bashkortostan.rabota.ru/vacancy/50448449/
142,Челябинск,Репетитор по химии (удаленно),50 000 — 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/50402281/
