id,city,position,salary,link
125,Челябинск,Оператор клиентской поддержки (удаленно),35 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52095506/
126,Санкт-Петербург,Менеджер по туризму (удаленно),70 000 — 300 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50464985/
127,Москва,Менеджер по продажам ( удаленно),от 20 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51636857/
128,Иркутск,Маркетолог,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51630272/
129,,,,https://chelyabinskaya.rabota.ru/vacancy/51977584/
130,Москва,Менеджер по продажам,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51575042/
131,Екатеринбург,Оператор call-центра (удаленно),30 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50357768/
132,Санкт-Петербург,Менеджер по продажам (удаленно),80 000 — 140 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51968360/
133,Москва,Инженер-сметчик,95 000 — 110 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51934755/
134,Москва,Специалист по обработке графики,от 37 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50252877/
135,Москва,Помощник/ассистент руководителя (удаленно),15 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51917346/
136,,,,https://chelyabinskaya.rabota.ru/vacancy/51648375/
137,Иркутск,Руководитель отдела продаж,до 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51629638/
138,,,,https://chelyabinskaya.rabota.ru/vacancy/51629221/
139,Калининград,Менеджер по продажам,от 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51445839/
140,Москва,Менеджер по продажам,от 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51445838/
141,Москва,Маркетолог в рекламное агентство,35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50448449/
142,Челябинск,Репетитор по химии (удаленно),50 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50402281/
143,Давлеканово,Оператор контакт-центра,33 000 — 47 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50274767/
144,Иваново,Оператор call-центра (удалённо),от 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50070327/
145,Курск,Начинающий оператор входящих звонков (удаленно),35 000 — 85 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50057012/
146,Москва,Оператор call-центра,25 000 — 42 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50010162/
147,Москва,Менеджер по продажам образовательных услуг (удаленно),до 200 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/45820514/
148,Поселок Посьет,Дорожный мастер (ж/д),по договоренности,https://chelyabinskaya.rabota.ru/vacancy/52234261/
149,Поселок Посьет,"Мастер группы по ремонту вентиляции, кондиционирования и аспирации",от 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52234227/
150,Москва,Курьер по доставке бизнес-посылок (подработка),120 000 — 145 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50268642/
151,Челябинск,Продавец-кассир,42 000 — 57 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52278953/
152,Челябинск,Продавец-кассир,42 000 — 57 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52278924/
153,Верхний Уфалей,Продавец-кассир,25 000 — 36 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52278913/
154,,,,https://chelyabinskaya.rabota.ru/vacancy/52279106/
155,Челябинск,Бухгалтер,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/51569452/
156,Челябинск,Менеджер по продажам,от 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50972550/
157,Челябинск,Администратор салона,от 30 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50435283/
158,Челябинск,Продавец-кассир,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50419089/
159,Челябинск,"Администратор-продавец магазина подарков ""Твоя полка""",38 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50240324/
160,Челябинск,Ведущий менеджер по продажам,от 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50182932/
161,Челябинск,Повар,от 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50123557/
162,Челябинск,Уборщик/ца,40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50047326/
163,Челябинск,Менеджер по продажам автомасел и запчастей (Продавец-консультант),50 000 — 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49531777/
164,Челябинск,Бухгалтер первички,40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49031177/
165,Челябинск,Ведущий инженер-проектировщик,80 000 — 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48875430/
166,Миасс,Медицинская сестра процедурного кабинета,30 000 — 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48668569/
167,Челябинск,Горничная,27 000 — 29 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48261442/
168,Челябинск,"Мастер по работе с камнем, плиткой",по договоренности,https://chelyabinskaya.rabota.ru/vacancy/47842938/
169,Челябинск,Продавец продуктов,30 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/46662964/
170,Магнитогорск,Мастер установки тонировочных пленок,от 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49763135/
171,Челябинск,Оператор производственной линии пружинных блоков,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50248207/
172,Село Аргаяш,Менеджер пункта выдачи,30 000 — 35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50005615/
173,Челябинск,Продавец-кассир,40 000 — 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48885119/
174,Челябинск,Торговый представитель,от 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50450625/
175,Челябинск,Официант,50 000 — 62 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50248081/
